,,,,,,"// 049684			precip	39.4194		-123.3425		1353","// 047109			precip	39.3619		-123.1286		1018","// 049122			precip	39.1466		-123.2102		636","// 049126			precip	39.1266		-123.2719		1328","// 041838			precip	38.793		-123.0263		400","// 043875			precip	38.6294		-122.8665		177","// 041312			precip	38.5768		-122.5781		350","// 043191			precip	38.515		-123.2447		112","// 043578			precip	38.4305		-122.8647		200","// 046370			precip	38.3858		-122.9661		865","// 049684			tmax	39.4194		-123.3425		1353","// 047109			tmax	39.3619		-123.1286		1018","// 049122			tmax	39.1466		-123.2102		636","// 049126			tmax	39.1266		-123.2719		1328","// 041838			tmax	38.793		-123.0263		400","// 043875			tmax	38.6294		-122.8665		177","// 041312			tmax	38.5768		-122.5781		350","// 043191			tmax	38.515		-123.2447		112","// 043578			tmax	38.4305		-122.8647		200","// 046370			tmax	38.3858		-122.9661		865","// 049684			tmin	39.4194		-123.3425		1353","// 047109			tmin	39.3619		-123.1286		1018","// 049122			tmin	39.1466		-123.2102		636","// 049126			tmin	39.1266		-123.2719		1328","// 041838			tmin	38.793		-123.0263		400","// 043875			tmin	38.6294		-122.8665		177","// 041312			tmin	38.5768		-122.5781		350","// 043191			tmin	38.515		-123.2447		112","// 043578			tmin	38.4305		-122.8647		200","// 046370			tmin	38.3858		-122.9661		865"
2022,12,15,0,0,0,-999,0.254,-999,-999,0,0,0,-999,0.254,-999,-999,12.777778,-999,-999,12.222222,13.333333,13.888889,-999,12.222222,-999,-999,-3.3333333,-999,-999,-1.1111112,-0.5555556,-2.2222223,-999,-1.1111112,-999
2022,12,16,0,0,0,-999,0,-999,-999,0,0.254,0,-999,0,-999,-999,14.444445,-999,-999,15,16.11111,13.888889,-999,13.888889,-999,-999,-5,-999,-999,-2.2222223,-1.1111112,-2.7777777,-999,-0.5555556,-999
2022,12,17,0,0,0,-999,0,-999,-999,0,0.254,0,-999,0.254,-999,-999,14.444445,-999,-999,13.333333,16.11111,16.666666,-999,14.444445,-999,-999,-5,-999,-999,-2.7777777,-1.6666666,-3.3333333,-999,-2.7777777,-999
2022,12,18,0,0,0,-999,0.254,-999,-999,0,0,0,-999,0,-999,-999,13.333333,-999,-999,13.888889,13.888889,16.666666,-999,13.333333,-999,-999,-4.4444447,-999,-999,-2.2222223,-1.6666666,-3.3333333,-999,-2.7777777,-999
2022,12,19,0,0,0,-999,0,-999,-999,0,0.254,0,-999,0,-999,-999,13.333333,-999,-999,13.333333,6.111111,15,-999,7.2222223,-999,-999,-2.2222223,-999,-999,-2.2222223,5.68E-14,-2.2222223,-999,1.1111112,-999
2022,12,20,0,0,0,-999,0,-999,-999,0,0,0,-999,0,-999,-999,12.222222,-999,-999,7.2222223,13.333333,10.555555,-999,12.777778,-999,-999,4.4444447,-999,-999,-1.6666666,4.4444447,5.68E-14,-999,3.8888888,-999
2022,12,21,0,0,0,-999,0,-999,-999,0,0,0,-999,0,-999,-999,14.444445,-999,-999,13.333333,16.11111,15,-999,15.555555,-999,-999,6.6666665,-999,-999,4.4444447,4.4444447,2.2222223,-999,1.6666666,-999
2022,12,22,0,0,0,-999,0.254,-999,-999,0,0,0,-999,0,-999,-999,14.444445,-999,-999,14.444445,11.111111,17.222221,-999,10.555555,-999,-999,7.7777777,-999,-999,6.6666665,6.6666665,2.2222223,-999,5.5555553,-999
2022,12,23,0,0,0,-999,1.016,-999,-999,10.16,0.254,0,-999,0.254,-999,-999,14.444445,-999,-999,10,15.555555,13.333333,-999,13.333333,-999,-999,8.888889,-999,-999,6.6666665,7.2222223,3.8888888,-999,5.5555553,-999
2022,12,24,0,0,0,-999,0,-999,-999,0,0,0,-999,0.254,-999,-999,16.666666,-999,-999,13.333333,19.444445,15,-999,16.666666,-999,-999,7.2222223,-999,-999,6.6666665,8.333333,4.4444447,-999,3.8888888,-999
