PRISM Time Series Data
Locations: 2
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 4km
Period: 2023-05-08 - 2023-08-27
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Aug-28
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmax (degrees F)
83,-122.7999,38.4036,113.0,2023-05-08,0.17,39.9,62.9
83,-122.7999,38.4036,113.0,2023-05-09,0.00,43.3,64.2
83,-122.7999,38.4036,113.0,2023-05-10,0.00,40.7,68.2
83,-122.7999,38.4036,113.0,2023-05-11,0.00,39.3,65.4
83,-122.7999,38.4036,113.0,2023-05-12,0.00,42.1,69.8
83,-122.7999,38.4036,113.0,2023-05-13,0.00,41.7,74.2
83,-122.7999,38.4036,113.0,2023-05-14,0.00,43.4,85.5
83,-122.7999,38.4036,113.0,2023-05-15,0.00,46.5,68.3
83,-122.7999,38.4036,113.0,2023-05-16,0.00,48.4,71.8
83,-122.7999,38.4036,113.0,2023-05-17,0.00,50.3,80.0
83,-122.7999,38.4036,113.0,2023-05-18,0.00,50.1,73.3
83,-122.7999,38.4036,113.0,2023-05-19,0.00,46.1,71.6
83,-122.7999,38.4036,113.0,2023-05-20,0.00,45.7,71.7
83,-122.7999,38.4036,113.0,2023-05-21,0.00,50.2,67.6
83,-122.7999,38.4036,113.0,2023-05-22,0.00,45.3,76.7
83,-122.7999,38.4036,113.0,2023-05-23,0.00,45.0,77.8
83,-122.7999,38.4036,113.0,2023-05-24,0.00,45.5,69.8
83,-122.7999,38.4036,113.0,2023-05-25,0.00,49.8,66.4
83,-122.7999,38.4036,113.0,2023-05-26,0.00,51.1,62.4
83,-122.7999,38.4036,113.0,2023-05-27,0.01,51.3,61.6
83,-122.7999,38.4036,113.0,2023-05-28,0.00,51.4,64.2
83,-122.7999,38.4036,113.0,2023-05-29,0.02,51.8,66.5
