PRISM Time Series Data
Location:  Lat: 38.5268   Lon: -122.8139   Elev: 128ft
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 4km
Period: 2022-12-15 - 2023-01-10
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jan-12
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmax (degrees F)
2022-12-15,0.00,29.4,54.4
2022-12-16,0.00,28.7,55.2
2022-12-17,0.00,26.5,57.2
2022-12-18,0.00,26.2,57.6
2022-12-19,0.00,27.0,53.6
2022-12-20,0.00,34.9,46.7
2022-12-21,0.00,35.3,56.0
2022-12-22,0.01,37.2,57.4
2022-12-23,0.02,41.2,52.2
2022-12-24,0.00,39.2,58.2
2022-12-25,0.00,41.8,62.4
2022-12-26,0.00,42.7,59.0
2022-12-27,3.21,42.7,57.2
2022-12-28,0.14,37.0,58.4
2022-12-29,0.39,39.0,54.3
2022-12-30,0.74,46.8,54.4
2022-12-31,1.14,50.6,60.7
2023-01-01,0.56,44.3,55.3
2023-01-02,0.01,38.3,64.6
2023-01-03,0.43,38.4,48.3
2023-01-04,0.47,40.6,51.1
2023-01-05,2.05,44.4,56.5
2023-01-06,0.67,43.7,55.4
2023-01-07,0.32,48.4,55.1
2023-01-08,2.07,48.3,54.1
2023-01-09,2.58,47.9,59.2
2023-01-10,0.58,43.0,60.4
